part_number,name_he,name_en,description,manufacturer,category,barcode,price,cost,currency,vat_included,stock_qty,min_stock,location,weight_kg,dimensions,warranty_months,side,part_type,image_url,notes,is_active,cross_refs,fitments
KBP-4582,רפידות בלם אחוריות CX-5,Rear Brake Pads,,KAVO PARTS,בלמים,,55.02,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
PP-318AF,רפידות בלם אחוריות CX-5,Rear Brake Pads,,JAPANPARTS,בלמים,,56.28,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
19-3671,רפידות בלם אחוריות CX-5,Rear Brake Pads,,MAXGEAR,בלמים,,57.78,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
ADB32416,רפידות בלם אחוריות CX-5,Rear Brake Pads,,ALLIED NIPPON,בלמים,,65.78,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
22-290977,בולם זעזועים קדמי CX-5,Front Shock Absorber,,BILSTEIN,מנוע,,529.24,,ILS,1,,,,,,,שמאל,shock_absorber_front,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KB7W-34-900B:Mazda,מאזדה:CX-5:2017:2026
KB7W-34-900B,בולם זעזועים קדמי CX-5,Front Shock Absorber,,Mazda,מנוע,,867.12,,ILS,1,,,,,,,שמאל,shock_absorber_front,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KB7W-34-900B:Mazda,מאזדה:CX-5:2017:2026
2000474,בולם זעזועים קדמי אוקטביה,Front Shock Absorber,,KAMOKA,מנוע,,142.26,,ILS,1,,,,,,,,shock_absorber_front,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:5Q0413031FP:Skoda,סקודה:OCTAVIA:2014:2020
DSB364G,בולם זעזועים קדמי אוקטביה,Front Shock Absorber,,DENCKERMANN,מנוע,,170.39,,ILS,1,,,,,,,,shock_absorber_front,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:5Q0413031FP:Skoda,סקודה:OCTAVIA:2014:2020
358048070000,בולם זעזועים קדמי אוקטביה,Front Shock Absorber,,MAGNETI MARELLI,מנוע,,216.09,,ILS,1,,,,,,,,shock_absorber_front,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:5Q0413031FP:Skoda,סקודה:OCTAVIA:2014:2020
AGW083MT,בולם זעזועים קדמי אוקטביה,Front Shock Absorber,,MAGNUM TECHNOLOGY,מנוע,,231.74,,ILS,1,,,,,,,,shock_absorber_front,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:5Q0413031FP:Skoda,סקודה:OCTAVIA:2014:2020
SSA-10365,בולם זעזועים קדמי אוקטביה,Front Shock Absorber,,KAVO PARTS,מנוע,,272.76,,ILS,1,,,,,,,,shock_absorber_front,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:5Q0413031FP:Skoda,סקודה:OCTAVIA:2014:2020
742117SP,בולם זעזועים קדמי אוקטביה,Front Shock Absorber,,MONROE,מנוע,,277.93,,ILS,1,,,,,,,,shock_absorber_front,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:5Q0413031FP:Skoda,סקודה:OCTAVIA:2014:2020
04E121600CS,משאבת מים אוקטביה TSI,Water Pump,,VAG,מנוע,,752.28,,ILS,1,,,,,,,,water_pump,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:04E121600CS:Skoda,סקודה:OCTAVIA:2014:2020:1.4 TSI
3518100600,רצועת אביזרים ריו 1.6,V-Ribbed Belt,,JP GROUP,מנוע,,32.94,,ILS,1,,,,,,,,serpentine_belt,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:25212-2B020:Kia,קיה:RIO:2012:2020:1.6
7016090,רצועת אביזרים ריו 1.6,V-Ribbed Belt,,KAMOKA,מנוע,,33.19,,ILS,1,,,,,,,,serpentine_belt,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:25212-2B020:Kia,קיה:RIO:2012:2020:1.6
AD06R1255,רצועת אביזרים ריו 1.6,V-Ribbed Belt,,BLUE PRINT,מנוע,,43.42,,ILS,1,,,,,,,,serpentine_belt,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:25212-2B020:Kia,קיה:RIO:2012:2020:1.6
6PK1255,רצועת אביזרים ריו 1.6,V-Ribbed Belt,,GATES,מנוע,,45.76,,ILS,1,,,,,,,,serpentine_belt,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:25212-2B020:Kia,קיה:RIO:2012:2020:1.6
1987947887,רצועת אביזרים ריו 1.6,V-Ribbed Belt,,BOSCH,מנוע,,51.11,,ILS,1,,,,,,,,serpentine_belt,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:25212-2B020:Kia,קיה:RIO:2012:2020:1.6
575540,מגב ריו,Wiper Blade,,VALEO,מגבים,,10.27,,ILS,1,,,,,,,,wiper_blade,,"מקור: alvadi.co.il, דף המגבים של Kia Rio YB. אין מק""ט מקורי - מגבים נמכרים לפי מידה. לאימות התאמה לפני מכירה.",1,,קיה:RIO:2017:2026
39-0314,מגב ריו,Wiper Blade,,MAXGEAR,מגבים,,14.32,,ILS,1,,,,,,,,wiper_blade,,"מקור: alvadi.co.il, דף המגבים של Kia Rio YB. אין מק""ט מקורי - מגבים נמכרים לפי מידה. לאימות התאמה לפני מכירה.",1,,קיה:RIO:2017:2026
39-0003,מגב ריו,Wiper Blade,,MAXGEAR,מגבים,,14.53,,ILS,1,,,,,,,,wiper_blade,,"מקור: alvadi.co.il, דף המגבים של Kia Rio YB. אין מק""ט מקורי - מגבים נמכרים לפי מידה. לאימות התאמה לפני מכירה.",1,,קיה:RIO:2017:2026
