part_number,name_he,name_en,manufacturer,category,side,part_type,notes,is_active,cross_refs,fitments
DAY43328ZA,רפידות בלם קדמיות — מאזדה MAZDA 2,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:DAY43328ZA:Mazda,מאזדה:MAZDA 2:2014:2026
B4Y03328ZA,רפידות בלם קדמיות — מאזדה MAZDA 3,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:B4Y03328ZA:Mazda,מאזדה:MAZDA 3:2013:2019
KD47-61-J6X 9A,מסנן מזגן — מאזדה MAZDA 3,מסנן מזגן,Mazda,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KD47-61-J6X 9A:Mazda,מאזדה:MAZDA 3:2013:2019
KD4-561-J6X,מסנן מזגן — מאזדה MAZDA 6,מסנן מזגן,Mazda,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KD4-561-J6X:Mazda,מאזדה:MAZDA 6:2012:2026
KD4561J6X,מסנן מזגן — מאזדה MAZDA 6,מסנן מזגן,Mazda,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KD4561J6X:Mazda,מאזדה:MAZDA 6:2012:2026
KD4561J6X9A,מסנן מזגן — מאזדה MAZDA 6,מסנן מזגן,Mazda,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KD4561J6X9A:Mazda,מאזדה:MAZDA 6:2012:2026
KD4561J6X9U,מסנן מזגן — מאזדה MAZDA 6,מסנן מזגן,Mazda,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KD4561J6X9U:Mazda,מאזדה:MAZDA 6:2012:2026
SHY114302,מסנן שמן — מאזדה MAZDA 6,מסנן שמן,Mazda,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:SHY114302:Mazda,מאזדה:MAZDA 6:2012:2026
6000615556,מסנן אוויר — מאזדה MX-5,מסנן אוויר,Mazda,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:6000615556:Mazda,מאזדה:MX-5:2015:2026
PEES-13-3A0,מסנן אוויר — מאזדה MX-5,מסנן אוויר,Mazda,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:PEES-13-3A0:Mazda,מאזדה:MX-5:2015:2026
D09T33251,דיסק בלם קדמי — מאזדה MX-5,דיסק בלם קדמי,Mazda,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:D09T33251:Mazda,מאזדה:MX-5:2015:2026
DA6A33251A,דיסק בלם קדמי — מאזדה MX-5,דיסק בלם קדמי,Mazda,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:DA6A33251A:Mazda,מאזדה:MX-5:2015:2026
DA7R33251,דיסק בלם קדמי — מאזדה MX-5,דיסק בלם קדמי,Mazda,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:DA7R33251:Mazda,מאזדה:MX-5:2015:2026
N2Y32648Z,רפידות בלם קדמיות — מאזדה MX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:N2Y32648Z:Mazda,מאזדה:MX-5:2015:2026
N2Y32648ZA,רפידות בלם קדמיות — מאזדה MX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:N2Y32648ZA:Mazda,מאזדה:MX-5:2015:2026
