part_number,name_he,name_en,manufacturer,category,side,part_type,notes,is_active,cross_refs,fitments
177050M080,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:177050M080:Toyota,טויוטה:C-HR:2016:2026
17801-0M030,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:17801-0M030:Toyota,טויוטה:C-HR:2016:2026
17801-0M040,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:17801-0M040:Toyota,טויוטה:C-HR:2016:2026
17801-0T060,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC), toyotapartsdeal.com. https://www.toyotapartsdeal.com/oem-toyota-c_hr-air_filter.html",1,OEM:17801-0T060:Toyota,טויוטה:C-HR:2016:2026; טויוטה:C-HR:2017:2019:2.0 (3ZR-FAE)
17801-0T090,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:17801-0T090:Toyota,טויוטה:C-HR:2016:2026
17801-21060,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC), toyotapartsdeal.com. https://www.toyotapartsdeal.com/oem-toyota-corolla-air_filter.html",1,OEM:17801-21060:Toyota,טויוטה:C-HR:2016:2026; טויוטה:COROLLA:2020:2024
17801-24060,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:17801-24060:Toyota,טויוטה:C-HR:2016:2026
17801-AZC01,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:17801-AZC01:Toyota,טויוטה:C-HR:2016:2026
178010M030,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:178010M030:Toyota,טויוטה:C-HR:2016:2026
178010M040,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:178010M040:Toyota,טויוטה:C-HR:2016:2026
